gene_id	gene_name	length	Caco2_polyA-S2-24h-A	Caco2_polyA-S2-24h-B	RPKM_1	RPKM_2	Expr
ENSG00000003249.13	DBNDD1	4791	489	388	10.31174931	10.5837077	10.44772851
ENSG00000003393.15	ALS2	10438	701	524	6.785008305	6.560641048	6.672824677
ENSG00000003400.14	CASP10	7598	73	54	0.970673625	0.928809723	0.949741674
ENSG00000003402.20	CFLAR	22479	1253	991	5.631495506	5.761412222	5.696453864
ENSG00000003436.16	TFPI	11714	292	208	2.518414957	2.320547153	2.419481055
ENSG00000003509.16	NDUFAF7	3651	346	210	9.574451951	7.516916815	8.545684383
ENSG00000003756.16	RBM5	10368	1020	806.5	9.93927808	10.16580244	10.05254026
ENSG00000003987.14	MTMR7	6928	1	0	0.014582829	0	0.007291414
ENSG00000003989.17	SLC7A2	7905	949	706	12.1286928	11.67172669	11.90020974
ENSG00000004059.11	ARF5	1825	931	706.5	51.53905727	50.59196873	51.065513
ENSG00000004139.14	SARM1	11105	203.5	158.5	1.851379748	1.865275501	1.858327625
ENSG00000004142.12	POLDIP2	2670	2769	2225	104.7758885	108.9058067	106.8408476
ENSG00000004399.12	PLXND1	9738	296	216	3.070941893	2.898786722	2.984864308
ENSG00000004455.16	AK2	5727	990	810	17.46456085	18.48375138	17.97415611
ENSG00000004468.13	CD38	6857	2	4	0.02946765	0.076235653	0.052851652
ENSG00000004478.8	FKBP4	5163	4430	3282	86.68645825	83.07469091	84.88057458
ENSG00000004487.16	KDM1A	5440	1177	914	21.85884554	21.9573325	21.90808902
ENSG00000004534.15	RBM6	7299	786	583.5	10.8794976	10.44743744	10.66346752
ENSG00000004660.14	CAMKK1	7424	44	34	0.598775982	0.598512515	0.598644249
ENSG00000004700.16	RECQL	3779	906	644	24.22149605	22.27107897	23.24628751
ENSG00000004766.17	VPS50	9559	446	338	4.713809803	4.62100588	4.667407841
ENSG00000004776.13	HSPB6	1724	1	2	0.058601994	0.151609012	0.105105503
ENSG00000004777.18	ARHGAP33	5260	19	6	0.364936678	0.149072587	0.257004633
ENSG00000004779.10	NDUFAB1	1548	498	417	32.50184723	35.20443519	33.85314121
ENSG00000004799.8	PDK4	4544	1	4	0.022233679	0.115041345	0.068637512
ENSG00000004809.14	SLC22A16	3907	1	0	0.025858674	0	0.012929337
ENSG00000004838.14	ZMYND10	2889	2	4	0.069941044	0.180944227	0.125442636
ENSG00000004846.16	ABCB5	9257	0	0	0	0	0
ENSG00000004848.8	ARX	3114	3	0	0.097331251	0	0.048665625
ENSG00000004864.13	SLC25A13	3710	2107	1685	57.3773233	59.35513239	58.36622784
ENSG00000004866.20	ST7	6742	392.17	339	5.876723778	6.571178014	6.223950896
ENSG00000004897.12	CDC27	6824	1062	830	15.72299067	15.89539617	15.80919342
ENSG00000004939.15	SLC4A1	5125	1	0	0.019713139	0	0.00985657
ENSG00000004948.14	CALCR	4227	4	6	0.095604295	0.185503148	0.140553722
ENSG00000004961.15	HCCS	2343	730	490	31.47749979	27.33103472	29.40426725
ENSG00000004975.12	DVL2	5321	281	207	5.3353476	5.084044801	5.209696201
ENSG00000005001.10	PRSS22	2384	441	318	18.68882497	17.43223819	18.06053158
ENSG00000005007.12	UPF1	8600	2954	2234	34.70257471	33.94821938	34.32539704
ENSG00000005020.13	SKAP2	5361	587	548	11.06221136	13.35878726	12.21049931
ENSG00000005022.6	SLC25A5	1555	6244	4790	405.6786564	402.5662875	404.1224719
ENSG00000005059.16	MCUB	3555	46	26	1.307277796	0.955797797	1.131537797
ENSG00000005073.5	HOXA11	2307	24	20	1.051025627	1.132960278	1.091992952
ENSG00000005075.15	POLR2J	1355	374	254.5	27.8857266	24.54600249	26.21586455
ENSG00000005100.13	DHX33	5789	569.5	451.5	9.938934695	10.19263536	10.06578503
ENSG00000005102.13	MEOX1	2674	0	1	0	0.048873212	0.024436606
ENSG00000005108.16	THSD7A	10921	11	15	0.101760665	0.179498628	0.140629647
ENSG00000005156.11	LIG3	12919	570	450	4.457543762	4.552143016	4.504843389
ENSG00000005175.10	RPAP3	5350	1182	871	22.32098485	21.27632695	21.7986559
ENSG00000005187.12	ACSM3	7510	10	5	0.134527082	0.087008634	0.110767858
ENSG00000005189.19	REXO5	4114	59	51	1.448896564	1.620086381	1.534491472
ENSG00000005194.15	CIAPIN1	3383	786	630	23.47308689	24.3372125	23.90514969
ENSG00000005206.17	SPPL2B	7419	185.5	136.5	2.526086402	2.404471107	2.465278754
ENSG00000005238.19	FAM214B	6409	27	23	0.425621101	0.468996765	0.447308933
ENSG00000005243.10	COPZ2	1866	2	2	0.108284929	0.140071777	0.124178353
ENSG00000005249.13	PRKAR2B	4262	2	0	0.047409591	0	0.023704795
ENSG00000005302.18	MSL3	9780	309	246	3.19204704	3.287218215	3.239632628
ENSG00000005339.14	CREBBP	15492	776	640	5.060621906	5.398893594	5.22975775
ENSG00000005379.17	TSPOAP1	11389	1	2	0.008870826	0.022949683	0.015910254
ENSG00000005381.7	MPO	3526	0	0	0	0	0
ENSG00000005421.8	PON1	2832	1	1	0.035674378	0.046146528	0.040910453
ENSG00000005436.13	GCFC2	5465	415	326	7.671982236	7.795782541	7.733882389
ENSG00000005448.16	WDR54	2860	43	32	1.518980087	1.46223181	1.490605949
ENSG00000005469.11	CROT	4979	171	125	3.469793605	3.280954209	3.375373907
ENSG00000005471.17	ABCB4	7727	5	3	0.065374556	0.050739084	0.05805682
ENSG00000005483.20	KMT2E	9231	1371	1077	15.00508162	15.24752081	15.12630121
ENSG00000005486.17	RHBDD2	2390	487	394	20.58641476	21.54421147	21.06531312
ENSG00000005513.10	SOX8	4470	104	77	2.350582369	2.25120728	2.300894824
ENSG00000005700.15	IBTK	8719	576	469	6.674296008	7.029726806	6.852011407
ENSG00000005801.18	ZNF195	11711	406	345	3.502528766	3.849970453	3.67624961
ENSG00000005810.18	MYCBP2	15987	535	435	3.380932228	3.555941146	3.468436687
ENSG00000005812.11	FBXL3	7076	414	340	5.911016546	6.279475571	6.095246059
ENSG00000005844.17	ITGAL	6472	1	0	0.015610296	0	0.007805148
ENSG00000005882.11	PDK2	5481	27	19	0.497683933	0.453029081	0.475356507
ENSG00000005884.18	ITGA3	9802	343	282	3.535322848	3.759816873	3.647569861
ENSG00000005889.15	ZFX	9037	577	468	6.450615994	6.767898755	6.609257374
ENSG00000005893.15	LAMP2	5526	1131	874	20.67765964	20.66963628	20.67364796
ENSG00000005961.18	ITGA2B	5551	0	1	0	0.023542959	0.01177148
ENSG00000005981.13	ASB4	4606	21	20	0.460622363	0.567464038	0.514043201
ENSG00000006007.12	GDE1	4390	683	491	15.7183097	14.61669734	15.16750352
ENSG00000006015.17	REX1BD	3370	223	157	6.685357257	6.088383972	6.386870614
ENSG00000006016.11	CRLF1	2967	3	3	0.102153527	0.132140514	0.11714702
ENSG00000006025.12	AC003665.1	6572	56	49	0.860875068	0.974385489	0.917630279
ENSG00000006042.12	TMEM98	5187	578	480	11.25800011	12.09364655	11.67582333
ENSG00000006047.13	YBX2	4631	117	90	2.552470544	2.539802877	2.546136711
ENSG00000006059.3	KRT33A	1287	1	0	0.078500263	0	0.039250131
ENSG00000006062.16	MAP3K14	5784	238	176	4.15717523	3.976643565	4.066909397
ENSG00000006071.13	ABCC8	12588	1	0	0.008025885	0	0.004012942
ENSG00000006116.3	CACNG3	3088	0	0	0	0	0
ENSG00000006118.14	TMEM132A	7271	284	186	3.946152399	3.343113197	3.644632798
ENSG00000006125.18	AP2B1	7591	3546	2746	47.1942836	47.27524889	47.23476624
ENSG00000006128.12	TAC1	1712	0	0	0	0	0
ENSG00000006194.10	ZNF263	6403	366	268	5.77493688	5.469952747	5.622444813
ENSG00000006210.7	CX3CL1	5960	5	4	0.084756576	0.087709375	0.086232975
ENSG00000006282.21	SPATA20	5337	617.5	528	11.68932456	12.92912107	12.30922281
ENSG00000006283.18	CACNA1G	10062	47	25	0.471914371	0.324704254	0.398309312
ENSG00000006327.13	TNFRSF12A	1848	895	552	48.92949423	39.03636708	43.98293066
ENSG00000006377.11	DLX6	3445	33	31	0.967774939	1.175993036	1.071883988
ENSG00000006432.15	MAP3K9	12386	460	389	3.752117362	4.104410671	3.928264017
ENSG00000006451.8	RALA	3579	932	728	26.3089716	26.58287587	26.44592374
ENSG00000006453.14	BAIAP2L1	4821	1350	1086	28.29086949	29.43913033	28.86499991
ENSG00000006459.11	KDM7A	9378	73	77	0.786434016	1.073032261	0.929733138
ENSG00000006468.14	ETV1	9615	7	4	0.073552664	0.054367953	0.063960309
ENSG00000006530.17	AGK	10786	499	388	4.674011621	4.70114441	4.687578015
ENSG00000006534.16	ALDH3B1	6626	175	132	2.668309948	2.603483215	2.635896581
ENSG00000006555.11	TTC22	6111	97	68	1.603648228	1.454215976	1.528932102
ENSG00000006576.16	PHTF2	8646	522	419	6.0996502	6.333314783	6.216482491
ENSG00000006606.8	CCL26	706	0	0	0	0	0
ENSG00000006607.14	FARP2	14371	392	325	2.755806599	2.955484282	2.855645441
ENSG00000006611.16	USH1C	4904	756	580	15.5747467	15.45645218	15.51559944
ENSG00000006625.18	GGCT	1594	622.5	484	39.45487728	39.68161389	39.56824558
ENSG00000006634.8	DBF4	4595	752	564	16.53415418	16.04079434	16.28747426
ENSG00000006638.11	TBXA2R	2793	0	0	0	0	0
ENSG00000006652.14	IFRD1	7462	1217	979	16.47725989	17.14587801	16.81156895
ENSG00000006659.13	LGALS14	904	0	0	0	0	0
ENSG00000006695.11	COX10	3172	145	123	4.618324894	5.067622027	4.842973461
ENSG00000006704.10	GTF2IRD1	6498	485	422	7.540700463	8.48721153	8.013955996
ENSG00000006712.15	PAF1	2850	1023	794	36.26439461	36.40893075	36.33666268
ENSG00000006715.16	VPS41	7752	1029	863	13.41069449	14.5488717	13.9797831
ENSG00000006740.17	ARHGAP44	9322	17	6	0.184242357	0.084115191	0.134178774
ENSG00000006744.19	ELAC2	7002	899	679	12.97141169	12.67301504	12.82221337
ENSG00000006747.15	SCIN	11626	5	5	0.043449956	0.056204614	0.049827285
ENSG00000006756.16	ARSD	7026	1	0	0.014379425	0	0.007189712
ENSG00000006757.12	PNPLA4	3411	209	158	6.190336036	6.053515378	6.121925707
ENSG00000006788.14	MYH13	6120	0	1	0	0.02135408	0.01067704
ENSG00000006831.10	ADIPOR2	5831	1113	928	19.28420684	20.79874916	20.041478
ENSG00000006837.12	CDKL3	3149	15	13	0.481247245	0.539514317	0.510380781
ENSG00000007001.12	UPP2	2957	0	0	0	0	0
ENSG00000007038.11	PRSS21	1967	0	0	0	0	0
ENSG00000007047.15	MARK4	6656	163	110	2.474138169	2.159790638	2.316964404
ENSG00000007062.11	PROM1	7434	2587	2149	35.15794886	37.77862448	36.46828667
ENSG00000007080.11	CCDC124	1661	1093	762	66.48140477	59.95392514	63.21766496
ENSG00000007129.18	CEACAM21	1977	0	0	0	0	0
ENSG00000007168.13	PAFAH1B1	8219	1674.5	1373.5	20.58333913	21.83946351	21.21140132
ENSG00000007171.17	NOS2	4369	180.5	157	4.173926717	4.696235748	4.435081232
ENSG00000007174.18	DNAH9	16941	0	0	0	0	0
ENSG00000007202.15	KIAA0100	9232	2559.5	1973	28.00973476	27.92952643	27.96963059
ENSG00000007216.14	SLC13A2	3226	1	1	0.031317371	0.040510529	0.03591395
ENSG00000007237.18	GAS7	10100	0	0	0	0	0
ENSG00000007255.10	TRAPPC6A	933	39	34	4.223112215	4.762440422	4.492776318
ENSG00000007264.15	MATK	4138	4	3	0.097660549	0.094746473	0.096203511
ENSG00000007306.15	CEACAM7	2653	6	1	0.228488138	0.049260071	0.138874104
ENSG00000007312.12	CD79B	2080	0	0	0	0	0
ENSG00000007314.12	SCN4A	8243	0	0	0	0	0
ENSG00000007341.19	ST7L	8108	106	79	1.320814364	1.27334367	1.297079017
ENSG00000007350.17	TKTL1	3526	29	18	0.830931739	0.667148447	0.749040093
ENSG00000007372.22	PAX6	20812	5	1	0.024272016	0.006279405	0.01527571
ENSG00000007376.8	RPUSD1	2769	1101	783	40.1711275	36.95481979	38.56297364
ENSG00000007384.15	RHBDF1	4914	358	321	7.360334175	8.536938695	7.948636435
ENSG00000007392.16	LUC7L	6176	803	568	13.135842	12.01913825	12.57749013
ENSG00000007402.11	CACNA2D2	6322	0	1	0	0.020671776	0.010335888
ENSG00000007516.13	BAIAP3	6146	11	7	0.180821383	0.148846205	0.164833794
ENSG00000007520.4	TSR3	1210	848	610	70.80438259	65.88351282	68.34394771
ENSG00000007541.16	PIGQ	7904	383	295	4.895550113	4.877613307	4.88658171
ENSG00000007545.15	CRAMP1	8373	385.5	308.5	4.651499187	4.815111626	4.733305406
ENSG00000007866.21	TEAD3	3049	687	489	22.76402065	20.95963509	21.86182787
ENSG00000007908.16	SELE	4586	0	0	0	0	0
ENSG00000007923.16	DNAJC11	5083	1750	1357	34.78304488	34.88928107	34.83616297
ENSG00000007933.13	FMO3	3439	0	0	0	0	0
ENSG00000007944.15	MYLIP	3072	180	161.5	5.919717092	6.870424916	6.395071004
ENSG00000007952.18	NOX1	2543	117	74	4.648246594	3.802923962	4.225585278
ENSG00000007968.7	E2F2	5462	82	70	1.516742355	1.674860447	1.595801401
ENSG00000008018.9	PSMB1	2219	1734	1277	78.94805756	75.20831826	77.07818791
ENSG00000008056.14	SYN1	3733	0	0	0	0	0
ENSG00000008083.14	JARID2	6244	210	140	3.397864519	2.930201078	3.164032798
ENSG00000008086.11	CDKL5	17075	281	263	1.662628672	2.012923725	1.837776199
ENSG00000008118.10	CAMK1G	3328	2	3	0.060715047	0.117806762	0.089260905
ENSG00000008128.23	CDK11A	5085	260.5	173.42	5.175668219	4.456978171	4.816323195
ENSG00000008130.15	NADK	5570	1153	849	20.91335792	19.919791	20.41657446
ENSG00000008196.13	TFAP2B	6155	1	1	0.016414271	0.021232651	0.018823461
ENSG00000008197.4	TFAP2D	1856	1	0	0.05443418	0	0.02721709
ENSG00000008226.19	DLEC1	8338	1	0	0.012116795	0	0.006058398
ENSG00000008256.16	CYTH3	5808	577	490	10.03688305	11.02558787	10.53123546
ENSG00000008277.14	ADAM22	12199	68	66	0.563163293	0.707053028	0.635108161
ENSG00000008282.8	SYPL1	2804	1417	1097	51.05537837	51.12824678	51.09181257
ENSG00000008283.16	CYB561	5296	484	388	9.233089458	9.574498415	9.403793936
ENSG00000008294.21	SPAG9	11966	1585	1306	13.38227426	14.26351164	13.82289295
ENSG00000008300.17	CELSR3	13850	588.5	445.5	4.292856309	4.203685507	4.248270908
ENSG00000008311.15	AASS	6664	296	238	4.487519831	4.667391716	4.577455774
ENSG00000008323.15	PLEKHG6	4260	411	333	9.747244969	10.21567145	9.981458208
ENSG00000008324.11	SS18L2	1298	335	248	26.07472716	24.96946693	25.52209705
ENSG00000008382.15	MPND	2049	188	93	9.269697224	5.931619341	7.600658282
ENSG00000008394.13	MGST1	7441	1070.5	817	14.53466496	14.34904622	14.44185559
ENSG00000008405.12	CRY1	4782	395	329	8.345208313	8.991219676	8.668213995
ENSG00000008441.16	NFIX	6302	11	6	0.176345322	0.124424279	0.150384801
ENSG00000008513.16	ST3GAL1	8852	109	68	1.244041164	1.00392158	1.123981372
ENSG00000008516.17	MMP25	4246	2	0	0.047588242	0	0.023794121
ENSG00000008517.16	IL32	3209	463.5	292	14.59249925	11.89174032	13.24211978
ENSG00000008710.19	PKD1	18532	524.5	434	2.859386479	3.060551702	2.95996909
ENSG00000008735.14	MAPK8IP2	5793	66	50	1.15103907	1.12797314	1.139506105
ENSG00000008838.20	MED24	6962	724	579	10.50640663	10.86868062	10.68754363
ENSG00000008853.16	RHOBTB2	6580	506	344	7.769163862	6.832267023	7.300715443
ENSG00000008869.12	HEATR5B	8238	314	256	3.850858126	4.061163368	3.956010747
ENSG00000008952.17	SEC62	7928	1229	912	15.66166389	15.03361691	15.3476404
ENSG00000008988.9	RPS20	3002	4313	3338.5	145.150464	145.3359237	145.2431938
ENSG00000009307.16	CSDE1	5778	4871	3651	85.17070659	82.57842166	83.87456413
ENSG00000009335.18	UBE3C	9215	1566	1319	17.16904253	18.70603482	17.93753867
ENSG00000009413.15	REV3L	12425	716	527	5.821920665	5.543020697	5.682470681
ENSG00000009694.13	TENM1	12896	4	7	0.031336798	0.070937405	0.051137102
ENSG00000009709.12	PAX7	6473	0	0	0	0	0
ENSG00000009724.16	MASP2	4251	2	1	0.047532269	0.030742641	0.039137455
ENSG00000009765.14	IYD	10362	148	100	1.443004833	1.261213743	1.352109288
ENSG00000009780.15	FAM76A	4034	103	83	2.579591807	2.688898946	2.634245377
ENSG00000009790.15	TRAF3IP3	7750	0	0	0	0	0
ENSG00000009830.11	POMT2	10008	270	244	2.725625136	3.18621305	2.955919093
ENSG00000009844.16	VTA1	7258	785	599	10.92703542	10.78554614	10.85629078
ENSG00000009950.16	MLXIPL	4815	17	4	0.356699325	0.108566536	0.232632931
ENSG00000009954.11	BAZ1B	7060	3831	2879	54.82228198	53.29288683	54.05758441
ENSG00000010017.13	RANBP9	3618	408	322	11.39308293	11.63106791	11.51207542
ENSG00000010030.14	ETV7	2374	16	13.5	0.680908767	0.743165151	0.712036959
ENSG00000010072.16	SPRTN	5906	230	170	3.93445019	3.761731217	3.848090704
ENSG00000010165.20	EEF1AKNMT	3831	715	509	18.85573856	17.36352564	18.1096321
ENSG00000010219.13	DYRK4	7054	32	23.5	0.458315116	0.435376205	0.44684566
ENSG00000010244.18	ZNF207	15834	2313.5	1829.83	14.76143306	15.10262314	14.9320281
ENSG00000010256.11	UQCRC1	3204	2039	1500	64.2945819	61.18303748	62.73880969
ENSG00000010270.13	STARD3NL	4348	509	349	11.82709009	10.48982333	11.15845671
ENSG00000010278.14	CD9	4165	429	351	10.40619464	11.01347558	10.70983511
ENSG00000010282.14	HHATL	2891	0	0	0	0	0
ENSG00000010292.13	NCAPD2	6470	3180	2449	49.65608748	49.4671383	49.56161289
ENSG00000010295.19	IFFO1	5203	9	7	0.174758513	0.175823328	0.175290921
ENSG00000010310.9	GIPR	5069	2	4	0.039861842	0.10312643	0.071494136
ENSG00000010318.21	PHF7	3364	15	16	0.450489767	0.621578921	0.536034344
ENSG00000010319.6	SEMA3G	5011	0	1	0	0.026080018	0.013040009
ENSG00000010322.16	NISCH	9062	448	321	4.994633369	4.629277946	4.811955657
ENSG00000010327.10	STAB1	10588	1	0	0.009541919	0	0.004770959
ENSG00000010361.13	FUZ	2950	1	0	0.034247403	0	0.017123701
ENSG00000010379.16	SLC6A13	4243	1	1	0.023810945	0.030800605	0.027305775
ENSG00000010404.18	IDS	9294	1011.83	871.5	10.99903393	12.25453977	11.62678685
ENSG00000010438.16	PRSS3	1664	266	187	16.15020253	14.68657634	15.41838943
ENSG00000010539.11	ZNF200	7498	176	172	2.371465931	2.997887237	2.684676584
ENSG00000010610.10	CD4	4557	0	1	0	0.02867829	0.014339145
ENSG00000010626.15	LRRC23	3052	34	27.5	1.125496233	1.177552956	1.151524595
ENSG00000010671.15	BTK	4575	4	1	0.088332099	0.028565457	0.058448778
ENSG00000010704.18	HFE	5675	57	49	1.014749037	1.128398491	1.071573764
ENSG00000010803.16	SCMH1	4447	239	246	5.429757447	7.229366796	6.329562122
ENSG00000010810.17	FYN	7411	11	9	0.149956581	0.158707693	0.154332137
ENSG00000010818.10	HIVEP2	10655	490	418	4.646139915	5.126903111	4.886521513
ENSG00000010932.17	FMO1	3602	0	0	0	0	0
ENSG00000011007.12	ELOA	5391	564	405	10.56962138	9.817885747	10.19375356
ENSG00000011009.11	LYPLA2	2021	516	422	25.79485235	27.28842183	26.54163709
ENSG00000011021.23	CLCN6	8173	197.5	173	2.441379307	2.766284776	2.603832042
ENSG00000011028.14	AC080038.1	6591	1	0	0.015328454	0	0.007664227
ENSG00000011052.21	NME1-NME2	1241	3457.33	2580	281.4613143	271.6940996	276.577707
ENSG00000011083.9	SLC6A7	4277	1	0	0.02362166	0	0.01181083
ENSG00000011105.14	TSPAN9	6905	190	146	2.779966588	2.763258123	2.771612355
ENSG00000011114.15	BTBD7	11333	496	394	4.42167121	4.543427637	4.482549424
ENSG00000011132.12	APBA3	5596	216.5	172	3.908677628	4.016826038	3.962751833
ENSG00000011143.16	MKS1	4078	154	139	3.815251375	4.45450921	4.134880293
ENSG00000011198.9	ABHD5	7549	197	163	2.636492007	2.821827499	2.729159753
ENSG00000011201.12	ANOS1	7082	5	1	0.071328607	0.018453398	0.044891003
ENSG00000011243.18	AKAP8L	5079	736	554	14.64027585	14.25488882	14.44758233
ENSG00000011258.16	MBTD1	7184	251	211	3.529856546	3.838383945	3.684120246
ENSG00000011260.14	UTP18	2703	1114	847	41.63789861	40.95148426	41.29469143
ENSG00000011275.18	RNF216	7619	1008	739	13.36633115	12.67589833	13.02111474
ENSG00000011295.16	TTC19	6054	331	281	5.523765527	6.065913119	5.794839323
ENSG00000011304.20	PTBP1	6883	7178.5	5600.5	105.3672374	106.3362436	105.8517405
ENSG00000011332.19	DPF1	4800	32	18	0.673532256	0.49007613	0.581804193
ENSG00000011347.9	SYT7	5953	287	209.5	4.870748129	4.599180213	4.734964171
ENSG00000011376.11	LARS2	12462	747	551	6.055953238	5.778247424	5.917100331
ENSG00000011405.13	PIK3C2A	9204	1983	1506	21.76685892	21.38359125	21.57522509
ENSG00000011422.12	PLAUR	4457	119	84	2.697453616	2.463025649	2.580239632
ENSG00000011426.11	ANLN	5997	3633	2875	61.20416921	62.65216494	61.92816708
ENSG00000011451.19	WIZ	9826	878	763	9.027498278	10.1479907	9.58774449
ENSG00000011454.17	RABGAP1	9151	504.5	392	5.569834275	5.598217843	5.584026059
ENSG00000011465.17	DCN	12548	1	1	0.008051469	0.010414964	0.009233217
ENSG00000011478.12	QPCTL	2213	89	59	4.06310692	3.484198425	3.773652673
ENSG00000011485.14	PPP5C	7059	1014	697	14.51257347	12.90392644	13.70824995
ENSG00000011523.14	CEP68	8623	191	134	2.237817364	2.030853963	2.134335663
ENSG00000011566.15	MAP4K3	6056	584	491	9.742639631	10.59565742	10.16914852
ENSG00000011590.14	ZBTB32	2739	0	0	0	0	0
ENSG00000011600.11	TYROBP	907	0	0	0	0	0
ENSG00000011638.10	TMEM159	2558	57	53	2.251251285	2.707744061	2.479497673
ENSG00000011677.13	GABRA3	4150	7	8	0.170411776	0.251926685	0.21116923
ENSG00000012048.22	BRCA1	9306	829	643	8.999971631	9.029843162	9.014907397
ENSG00000012061.15	ERCC1	5576	198	168	3.587501434	3.937483973	3.762492704
ENSG00000012124.17	CD22	6165	0	2	0	0.042396421	0.021198211
ENSG00000012171.19	SEMA3B	5768	80	53	1.401246024	1.200833791	1.301039908
ENSG00000012174.12	MBTPS2	8945	486.5	365.5	5.494803394	5.339976168	5.417389781
ENSG00000012211.13	PRICKLE3	3656	31	18	0.856653443	0.643425992	0.750039717
ENSG00000012223.12	LTF	4247	0	1	0	0.030771596	0.015385798
ENSG00000012232.8	EXTL3	13220	768	644	5.869206949	6.366294057	6.117750503
ENSG00000012504.15	NR1H4	3628	3	6	0.083541763	0.216130598	0.14983618
ENSG00000012660.14	ELOVL5	3813	1757	1332	46.55374403	45.65303998	46.10339201
ENSG00000012779.11	ALOX5	3730	0	0	0	0	0
ENSG00000012817.15	KDM5D	9463	0	0	0	0	0
ENSG00000012822.16	CALCOCO1	8898	93	70	1.055942343	1.028106065	1.042024204
ENSG00000012963.15	UBR7	3509	289.5	246	8.335177602	9.161867809	8.748522706
ENSG00000012983.11	MAP4K5	7620	776	589	10.28860296	10.10165672	10.19512984
ENSG00000013016.16	EHD3	4825	0	0	0	0	0
ENSG00000013275.7	PSMC4	2387	2360	1839	99.88706265	100.6842624	100.2856625
ENSG00000013288.8	MAN2B2	8898	528	393	5.995027496	5.772081192	5.883554344
ENSG00000013293.6	SLC7A14	10496	1	0	0.009625556	0	0.004812778
ENSG00000013297.11	CLDN11	3732	0	0	0	0	0
ENSG00000013306.16	SLC25A39	3526	1491	1234	42.72135252	45.73673244	44.22904248
ENSG00000013364.19	MVP	6141	334.5	283.5	5.503090854	6.033179522	5.768135188
ENSG00000013374.16	NUB1	5411	561	403	10.47454062	9.733292945	10.10391679
ENSG00000013375.16	PGM3	7478	694	503	9.376131028	8.790524864	9.083327946
ENSG00000013392.8	RWDD2A	3769	41	18	1.099024509	0.624135162	0.861579835
ENSG00000013441.16	CLK1	5170	839	616	16.39536448	15.57121322	15.98328885
ENSG00000013503.10	POLR3B	4768	300	260	6.356743186	7.126386681	6.741564933
ENSG00000013523.9	ANGEL1	6414	252.5	204.5	3.977242623	4.166742277	4.07199245
ENSG00000013561.18	RNF14	4988	431	331	8.729723403	8.672290783	8.701007093
ENSG00000013563.14	DNASE1L1	4132	54	43	1.320331866	1.36000475	1.340168308
