gene_id	gene_name	length	SARSCOV2_1	SARSCOV2_2	SARSCOV2_3	RPKM_1	RPKM_2	RPKM_3	Expr
ENSCSAG00000014744	PRDM1	23623	600	558	628	4.392626657	3.950696306	4.062885635	4.135402866
ENSCSAG00000017773	TPT1	4065	7115	7380	8070	302.7069881	303.6479191	303.4051783	303.2533618
ENSCSAG00000006157	TUBA1B	3880	9472	10036	10485	422.199832	432.6168436	412.9968252	422.6045003
ENSCSAG00000008293	IER3	1599	3224	3539	3468	348.7021794	370.1745833	331.4672529	350.1146719
ENSCSAG00000006054	TMBIM6	24758	1774	1948	1996	12.39213538	13.15975765	12.32125604	12.62438302
ENSCSAG00000008869	HES1	3161	1540	1570	1760	84.25667514	83.0710412	85.09385049	84.14052228
ENSCSAG00000011660	OAZ1	3455	1524	1622	1648	76.28602882	78.51945843	72.89859525	75.90136083
ENSCSAG00000013111	EGR1	2310	1495	1540	1420	111.9276293	111.5021491	93.94774675	105.7925084
ENSCSAG00000009514	GHITM	18071	1686	1875	1849	16.13553898	17.35375986	15.63740662	16.37556849
ENSCSAG00000000023	COX3	784	99106	95836	106402	21862.10509	20444.99993	20741.67058	21016.25854
ENSCSAG00000002191	APLP2	74244	1328	1395	1518	3.093462141	3.142587241	3.124786959	3.12027878
ENSCSAG00000004208	KPNA2	10251	1886	2040	2213	31.81878171	33.28422363	32.99325657	32.69875397
ENSCSAG00000012697	VIM	8442	9305	10066	10315	190.6246775	199.4279732	186.7385097	192.2637201
ENSCSAG00000005436	HNRNPA1	3915	4566	4714	5193	201.7029422	201.3874065	202.7199825	201.9367771
ENSCSAG00000007145	YWHAQ	7925	4645	4850	5193	101.3665206	102.3568625	100.1449504	101.2894445
ENSCSAG00000014618	NUAK2	19712	2110	2241	2339	18.51227773	19.01453299	18.13466491	18.55382521
ENSCSAG00000010810	AMOTL2	18888	5064	5362	5353	46.36772791	47.48050538	43.31329998	45.72051109
ENSCSAG00000003556	GRN	9203	1654	1666	1938	31.08237355	30.27750415	32.18358019	31.18115263
ENSCSAG00000014860	PRKDC	204906	4625	5090	5563	3.903598604	4.154680238	4.149200183	4.069159675
ENSCSAG00000012077	CCNL1	15696	1237	1159	1291	13.62977862	12.35005647	12.5703467	12.8500606
ENSCSAG00000017007	CHD2	128796	1255	1187	1439	1.68519221	1.54142657	1.707530314	1.644716365
ENSCSAG00000010109	MYC	5755	3993	4280	4212	119.9947029	124.3864114	111.8543912	118.7451685
ENSCSAG00000008188	ALDH1A1	59605	1415	1349	1533	4.105649208	3.78533007	3.930696088	3.940558455
ENSCSAG00000013552	CALM2	17151	6096	5781	6751	61.47005529	56.37519015	60.15734559	59.33419701
ENSCSAG00000013532	PFKFB3	22363	2569	2651	2706	19.86745019	19.8268701	18.49301545	19.39577858
ENSCSAG00000011242	LGMN	29993	2086	2241	2375	12.02825119	12.49673172	12.10190419	12.20896237
ENSCSAG00000000016	COX1	1539	263019	255177	280732	29556.74432	27731.7582	27878.10849	28388.87034
ENSCSAG00000011437	CALM1	11753	2974	2963	3318	43.76231828	42.16551535	43.14571292	43.02451552
ENSCSAG00000014779	ACTR2	39997	3639	3638	4360	15.73485445	15.21282166	16.65977283	15.86914965
ENSCSAG00000008483	DYRK1A	41776	1147	1181	1305	4.74837113	4.728218528	4.774123629	4.750237762
ENSCSAG00000016152	PLK2	6839	8640	9040	9863	218.488826	221.0804419	220.4075329	219.9922669
ENSCSAG00000016497	SUPT16H	33531	3095	3124	3591	15.963284	15.5825675	16.36737012	15.97107387
ENSCSAG00000006359	PDGFB	22628	2300	2394	2617	17.57882159	17.69507767	17.67533104	17.64974343
ENSCSAG00000010202	TPI1	6001	2074	2059	2133	59.77137102	57.38616691	54.3221853	57.15990774
ENSCSAG00000001429	CCN1	2063	8286	8765	8240	694.6304118	710.6032506	610.4329777	671.88888
ENSCSAG00000001894	SLC39A1	5446	1833	2016	2103	58.20937287	61.91378976	59.016254	59.71313888
ENSCSAG00000000019	COX2	684	101811	97193	112766	25742.26127	23765.85172	25196.02774	24901.38024
ENSCSAG00000006770	IFIT1	12724	177	182	286	2.405789906	2.392336271	3.435202765	2.744442981
ENSCSAG00000000960	STMN1	5566	529	568	645	16.43692458	17.06788198	17.71032441	17.07171032
ENSCSAG00000012934	PFN1	2752	2896	3312	3220	181.9944819	201.2873099	178.8205581	187.36745
ENSCSAG00000008818	CHRDL1	122078	1724	1832	1859	2.442350269	2.509935499	2.327297956	2.426527908
ENSCSAG00000009926	DUSP8	13624	303	289	328	3.846325958	3.547870057	3.679418712	3.691204909
ENSCSAG00000011027	CST3	6685	9753	10392	10687	252.3160662	259.999327	244.3230278	252.212807
ENSCSAG00000003545	NOCT	2899	321	344	352	19.1498294	19.84653638	18.55685832	19.18440804
ENSCSAG00000015405	ATF3	10677	386	432	377	6.252391361	6.767199836	5.396374873	6.138655357
ENSCSAG00000000841	SPEN	97057	1765	1954	2189	3.145038301	3.367225436	3.446901732	3.319721823
ENSCSAG00000017358	NEURL3	6698	137	145	154	3.537394664	3.620740137	3.513869121	3.557334641
ENSCSAG00000000379	RHOB	588	2806	2982	2930	825.3125192	848.2127774	761.5532892	811.692862
ENSCSAG00000013370	RGS2	4169	702	642	841	29.12147106	25.75595338	30.83004117	28.5691552
ENSCSAG00000001386	CRYZ	20738	904	844	1047	7.538928991	6.806911024	7.715957298	7.353932438
ENSCSAG00000001719	PHGDH	30832	377	430	420	2.114695033	2.332605287	2.081889127	2.176396482
ENSCSAG00000013810	IRF1	8992	647	684	677	12.44388746	12.72255394	11.50647702	12.22430614
ENSCSAG00000010924	CLK1	10666	508	470	692	8.237021988	7.370055799	9.915497721	8.507525169
ENSCSAG00000004654	CXCL10	2451	138	137	185	9.737419212	9.348711403	11.53555306	10.20722789
ENSCSAG00000008071	LAPTM4A	21758	1541	1523	1714	12.24874966	11.70726444	12.03931698	11.9984437
ENSCSAG00000008703	RUNX1	105302	863	882	978	1.417366841	1.40089783	1.41942431	1.412562994
ENSCSAG00000007963	MYH9	66074	7159	7748	7981	18.73828568	19.61252501	18.46021334	18.93700801
ENSCSAG00000018024	SMAD7	31170	1157	1198	1154	6.419550935	6.428275971	5.65820933	6.168678745
ENSCSAG00000011587	EPC1	80347	564	554	597	1.213996768	1.153226455	1.135571984	1.167598402
ENSCSAG00000017196	AEN	6341	562	571	667	15.32804105	15.06096684	16.07600323	15.48833704
ENSCSAG00000013562	AP2M1	3898	1098	1157	1171	48.71566078	49.64391479	45.91187869	48.09048475
ENSCSAG00000006153	TUBA1A	4938	1096	1198	1174	38.38553172	40.57702755	36.33515484	38.43257137
ENSCSAG00000019457	CDC42EP3	765	1320	1499	1527	298.4149581	327.7288658	305.0616436	310.4018225
ENSCSAG00000011155	RPS4X	3565	2855	3027	3104	138.5015618	142.0127653	133.0675566	137.8606279
ENSCSAG00000008265	ZFAND5	13481	3607	3824	4150	46.27347618	47.4427956	47.04743945	46.92123708
ENSCSAG00000000028	MT-ND4	1378	36434	34948	37611	4572.626499	4241.774791	4171.340739	4328.580676
ENSCSAG00000016893	CTNNB1	39928	1912	1996	2196	8.281679578	8.360985638	8.405523813	8.349396343
ENSCSAG00000012136	FOS	3994	441	346	354	19.09583359	14.48913756	13.54581704	15.71026273
ENSCSAG00000017480	POGLUT2	29093	1493	1472	1515	8.875225435	8.462404885	7.958553312	8.432061211
ENSCSAG00000011947	MSN	74958	1381	1371	1554	3.186278849	3.059102027	3.168422058	3.137934311
ENSCSAG00000004250	RRM1	45715	1157	1154	1260	4.377062291	4.222032597	4.212324548	4.270473145
ENSCSAG00000006636	GANAB	23177	1915	2114	2212	14.28958611	15.25535293	14.58605698	14.71033201
ENSCSAG00000007924	FAM83G	33976	548	654	619	2.789436009	3.219437495	2.784379355	2.931084286
ENSCSAG00000001782	TXNIP	5125	683	686	771	23.04808921	22.3874559	22.99166973	22.80907161
ENSCSAG00000012423	HSP90AB1	10239	12058	13223	13440	203.6694211	215.9966185	200.6096082	206.7585493
ENSCSAG00000009445	BRD2	7352	1645	1693	1794	38.69621579	38.51465013	37.29296763	38.16794452
ENSCSAG00000000035	CYTB	1141	56890	53119	59112	8622.999913	7786.436451	7917.717696	8109.051354
ENSCSAG00000015776	EPRS1	84028	1675	1640	1934	3.447457151	3.264331972	3.517567556	3.409785559
ENSCSAG00000004795	PDZD8	101581	1554	1645	1779	2.645736708	2.708494236	2.676538336	2.676923094
ENSCSAG00000015492	ARHGEF28	186195	2001	2128	2325	1.85860528	1.911516744	1.908380397	1.89283414
ENSCSAG00000007295	LGALS1	4462	2290	2467	2489	88.75932867	92.47281554	85.25214886	88.82809769
ENSCSAG00000010278	FOSL2	20725	2272	2286	2478	18.95928173	18.44829286	18.27329085	18.56028848
ENSCSAG00000003100	HMGB2	3111	710	707	710	39.46993671	38.00965258	34.87934667	37.45297865
ENSCSAG00000002411	HSPA8	5019	11688	12745	12930	402.7458737	424.714552	393.7234964	407.0613074
ENSCSAG00000005315	CD63	3562	1726	1838	1928	83.8021129	86.30303908	82.72239855	84.27585018
ENSCSAG00000011634	ARL6IP5	24224	1394	1346	1549	9.952335508	9.293380083	9.77272243	9.672812674
ENSCSAG00000008720	TMED9	4259	1016	1078	1115	41.25666895	42.33364057	40.01079965	41.20036972
ENSCSAG00000014349	CHD7	127979	1174	1236	1383	1.586490504	1.615303952	1.651556637	1.617783698
ENSCSAG00000000025	ND3	340	10285	9761	10760	5231.587234	4801.643285	4836.635489	4956.622003
ENSCSAG00000018839	IER2	672	914	974	938	235.2258329	242.4176189	213.3258915	230.3231145
ENSCSAG00000003007	EIF1	2655	2712	2885	2878	176.6579767	181.7422036	165.6670993	174.6890932
ENSCSAG00000003082	DHX58	11517	322	346	308	4.835313057	5.024712634	4.087157311	4.649061001
ENSCSAG00000003198	MMP1	9549	1419	1471	1619	25.69996871	25.76494838	25.91188212	25.7922664
ENSCSAG00000001806	TUFT1	44485	757	813	852	2.943000778	3.056690365	2.927089513	2.975593552
ENSCSAG00000016761	IL1A	7599	108	109	119	2.457963352	2.399079009	2.393318627	2.416786996
ENSCSAG00000001757	PDZK1	38767	295	343	338	1.316036438	1.479811586	1.332491692	1.376113239
ENSCSAG00000015535	UQCRC1	11339	1188	1234	1327	18.11964888	18.20182362	17.88570945	18.06906065
ENSCSAG00000008009	HNRNPM	43200	1659	1842	1851	6.641569652	7.131491623	6.548361943	6.773807739
ENSCSAG00000012017	PABPC1	16704	19606	21363	22596	202.9909188	213.9026951	206.7383704	207.8773281
ENSCSAG00000016665	CCN2	3854	767	707	743	34.41848468	30.68189652	29.46368803	31.52135641
ENSCSAG00000000022	ATP6	681	65808	62592	68475	16712.43275	15372.56062	15367.2067	15817.40002
ENSCSAG00000017065	HIVEP2	22862	560	509	646	4.236253093	3.723728933	4.318454036	4.092812021
ENSCSAG00000018623	SPRY2	948	1119	1271	1176	204.1408137	224.2392905	189.5871894	205.9890979
ENSCSAG00000006354	CCL2	1862	93	95	154	8.637963494	8.533327741	12.64011567	9.937135634
ENSCSAG00000012709	ZFP36L2	6864	2119	2319	2495	53.39022785	56.50644315	55.55245792	55.14970964
ENSCSAG00000014660	LGALS3	17069	1553	1615	1750	15.7351711	15.82482608	15.66895287	15.74298335
ENSCSAG00000017968	ATP5F1A	14898	4044	4352	4588	46.94520819	48.8579695	47.06579981	47.6229925
ENSCSAG00000000757	ERRFI1	16837	815	910	994	8.371455813	9.039640885	9.022599424	8.811232041
ENSCSAG00000000848	EPHA2	31605	2274	2292	2372	12.4435059	12.12923236	11.47014463	12.0142943
ENSCSAG00000017399	SLC12A7	74062	2160	2303	2353	5.043899304	5.200834088	4.855528363	5.033420585
ENSCSAG00000015939	LRPAP1	19150	532	546	554	4.804530408	4.768681992	4.421310243	4.664840881
ENSCSAG00000010734	SETD5	44558	1276	1270	1461	4.952597996	4.767080976	5.01111686	4.910265278
ENSCSAG00000001141	PPT1	23693	326	380	398	2.379609193	2.682489554	2.567278724	2.543125824
ENSCSAG00000018063	AKAP17A	7534	480	523	541	11.01853141	11.61049058	10.97442193	11.20114797
ENSCSAG00000010865	EEF2	10402	19498	21117	21884	324.1763357	339.5391584	321.5287859	328.41476
ENSCSAG00000000027	ND4L	297	4605	4413	4883	2681.521464	2485.146385	2512.697912	2559.788587
ENSCSAG00000009419	PDIA3	76970	3417	3537	3567	7.677707888	7.685782153	7.082582251	7.482024097
ENSCSAG00000017011	NHSL1	76823	1410	1495	1686	3.174212096	3.254800899	3.354102355	3.26103845
ENSCSAG00000009839	PPARG	131819	1485	1604	1663	1.948303153	2.035170733	1.928076407	1.970516764
ENSCSAG00000001691	ATP1A1	35938	2524	2658	2826	12.146287	12.37016719	12.0178909	12.17811503
ENSCSAG00000005165	DUSP5	13829	785	913	795	9.81718494	11.04217176	8.785902025	9.881752908
ENSCSAG00000013992	SLC25A25	17722	251	287	252	2.449452836	2.708592439	2.173190573	2.443745283
ENSCSAG00000009170	ZNF503	3680	1084	1128	1179	50.94359111	51.26674901	48.96389865	50.39141292
ENSCSAG00000011463	HSPD1	13647	5864	6155	6821	74.31301171	75.4336918	76.38724763	75.37798371
ENSCSAG00000009095	XRCC5	96898	2871	2983	3318	5.124204714	5.148881983	5.233251088	5.168779262
ENSCSAG00000012317	SBNO2	54385	981	982	991	3.119593214	3.019999369	2.784867427	2.974820003
ENSCSAG00000016289	TNFRSF10B	48001	561	582	643	2.021252958	2.02790309	2.047249114	2.032135054
ENSCSAG00000013400	PCNA	5796	1208	1179	1259	36.04513446	34.02200669	33.19765117	34.42159744
ENSCSAG00000007510	PTTG1IP	25807	1813	1977	2022	12.1497789	12.81278813	11.97439647	12.31232117
ENSCSAG00000014710	PELI1	65498	1688	1683	1910	4.457101208	4.297645356	4.456719821	4.403822128
ENSCSAG00000012752	TPX2	56666	1514	1585	1749	4.620738701	4.67822609	4.717123602	4.672029464
ENSCSAG00000018360	PGRMC1	8178	544	490	550	11.50429172	10.02128633	10.27840171	10.60132659
ENSCSAG00000017899	STARD13	137386	954	1022	1081	1.200919752	1.244179135	1.202522521	1.215873803
ENSCSAG00000009219	HNRNPU	12591	4697	5114	5477	64.51614787	67.93209325	66.48023117	66.30949076
ENSCSAG00000010054	CALU	34244	1674	1842	1960	8.454327312	8.996625339	8.74745238	8.732801677
ENSCSAG00000008261	PPP1R18	11749	727	825	846	10.70142469	11.74431097	11.00473181	11.15015582
ENSCSAG00000000946	CLIC4	38845	857	988	1017	3.815520476	4.253988545	4.001251326	4.023586782
ENSCSAG00000005981	PPM1D	67804	900	878	970	2.295595087	2.165776804	2.186383912	2.215918601
ENSCSAG00000016180	MAP3K1	36750	2079	2062	2397	9.783747555	9.384384961	9.968290699	9.712141072
ENSCSAG00000004531	OAT	22734	535	565	596	4.069921369	4.156684763	4.006640789	4.077748974
ENSCSAG00000011550	TSC22D2	50168	382	372	409	1.316875347	1.240196923	1.245966955	1.267679742
ENSCSAG00000012303	TPM1	21099	2649	2878	3098	21.71341728	22.81410389	22.44034581	22.32262233
ENSCSAG00000007650	WSB1	21982	2799	2931	3164	22.02134228	22.30093707	21.99780132	22.10669356
ENSCSAG00000013561	EPCAM	17166	768	731	836	7.737491844	7.122341054	7.442985505	7.434272801
ENSCSAG00000004671	OS9	28786	729	804	785	4.379800206	4.671423326	4.167718134	4.406313889
ENSCSAG00000007511	EDN1	7500	630	658	625	14.52738273	14.67368283	12.73587412	13.97897989
ENSCSAG00000012251	MIDN	9329	1112	1239	1266	20.61473643	22.21317871	20.73999353	21.18930289
ENSCSAG00000000006	ND1	956	30948	28665	33754	5598.643166	5014.972446	5396.067302	5336.560971
ENSCSAG00000016868	KLF3	38467	748	763	927	3.362957453	3.317498367	3.682997471	3.45448443
ENSCSAG00000001853	S100A4	2802	4278	4359	4575	264.0466985	260.1915782	249.5358634	257.9247134
ENSCSAG00000009697	NPM1	20666	10971	11554	12401	91.81166902	93.50835899	91.70864703	92.34289168
ENSCSAG00000006581	KMT2C	285950	1207	1243	1603	0.730004037	0.727035346	0.856748643	0.771262675
ENSCSAG00000009239	CLDN2	3386	868	912	1070	44.33440291	45.04871236	48.29551793	45.89287773
ENSCSAG00000013681	RPN2	60546	2307	2532	2710	6.589769598	6.994436667	6.840594364	6.808266876
ENSCSAG00000016624	EPB41L2	101661	667	676	727	1.134696065	1.112158834	1.092924187	1.113259696
ENSCSAG00000010749	CD9	39416	1920	1961	2015	8.424357176	8.321077017	7.812904308	8.186112834
ENSCSAG00000010419	PIM1	5332	884	906	972	28.67280734	28.41924619	27.86032178	28.31745844
ENSCSAG00000009365	AKR1B1	17351	6973	7263	7737	69.50295152	70.01095982	68.14878086	69.2208974
ENSCSAG00000014691	MDH1	18597	865	945	1062	8.044171272	8.498913611	8.727535612	8.423540165
ENSCSAG00000009584	URB1	80117	725	809	802	1.565025508	1.68887824	1.529888195	1.594597314
ENSCSAG00000018011	SERPINE1	12674	7087	7722	7748	96.70675758	101.9038499	93.42990628	97.34683792
ENSCSAG00000018152	NARS1	23850	1171	1222	1380	8.4913473	8.569536243	8.84302203	8.634635191
ENSCSAG00000013267	NDUFA4	7561	528	505	563	12.07710318	11.17086073	11.37991873	11.54262755
ENSCSAG00000001145	ZMPSTE24	42806	576	634	679	2.327158313	2.477188802	2.424237311	2.409528142
ENSCSAG00000006051	NCKAP5L	39866	438	466	547	1.900113486	1.955049472	2.096981832	1.984048264
ENSCSAG00000013640	SKP1	16430	725	727	775	7.631475873	7.400675207	7.208985351	7.413712143
ENSCSAG00000005471	PPRC1	25238	983	1073	1090	6.736071281	7.110813418	6.600571895	6.815818865
ENSCSAG00000011019	MIF	965	1291	1399	1401	231.3699865	242.4738445	221.8813634	231.9083982
ENSCSAG00000011832	PSMB1	19431	1168	1215	1180	10.39574896	10.45816823	9.281044596	10.04498726
ENSCSAG00000014001	ATP6AP2	26518	896	922	1044	5.843530777	5.81519995	6.016857643	5.89186279
ENSCSAG00000013096	CTNNA1	152516	1487	1603	1770	1.686178915	1.757893714	1.773649757	1.739240795
ENSCSAG00000008684	GSTP1	38205	1932	2013	2102	8.745708752	8.812478454	8.408577118	8.655588108
ENSCSAG00000003967	SPCS2	29419	418	425	480	2.457290309	2.416214694	2.493580167	2.455695057
ENSCSAG00000000032	ND5	1809	36297	33042	39951	3470.08615	3054.936992	3375.196729	3300.073291
ENSCSAG00000013068	PAIP2	40296	677	655	815	2.905593285	2.718653503	3.091047471	2.905098086
ENSCSAG00000003862	ZFP36	2840	331	339	330	20.15662175	19.96438128	17.75847236	19.29315847
ENSCSAG00000006392	DDB1	36471	1722	1851	2015	8.165702778	8.488544792	8.443789208	8.36601226
ENSCSAG00000004214	FRS2	10995	629	590	766	9.893808592	8.974934242	10.64739926	9.838714033
ENSCSAG00000013528	ANP32A	37748	1045	1034	1115	4.787738662	4.581430363	4.51430528	4.627824768
ENSCSAG00000013524	MCFD2	13905	2215	2395	2606	27.54931658	28.80772893	28.6426649	28.33323681
ENSCSAG00000010755	STK35	47486	2173	2345	2494	7.914112701	8.259461939	8.026770852	8.06678183
ENSCSAG00000001546	PSMA5	28175	418	466	454	2.565786108	2.766282245	2.462645686	2.598238013
ENSCSAG00000003203	MMP10	10011	571	634	661	9.864310616	10.59220296	10.09099526	10.18250294
ENSCSAG00000001427	BCL10	11337	556	571	651	8.48173574	8.423885573	8.775923844	8.560515053
ENSCSAG00000010969	IDH3B	6327	667	739	771	18.23207471	19.53534571	18.62372489	18.79704844
ENSCSAG00000013052	MCM3	21220	831	780	831	6.772729596	6.14785648	5.985020581	6.301868886
ENSCSAG00000002502	ATP5MC1	5080	562	543	617	19.13289533	17.87765758	18.56228582	18.52427958
ENSCSAG00000007883	DDX1	38155	1653	1603	1811	7.49254721	7.026783321	7.253990732	7.257773754
ENSCSAG00000001884	SFSWAP	90657	762	847	819	1.453656251	1.562631462	1.380678501	1.465655405
ENSCSAG00000006984	CETN2	2714	432	447	543	27.52846502	27.54686478	30.57736027	28.55089669
ENSCSAG00000003690	BCAR1	25877	1169	1326	1348	7.812835454	8.570459275	7.961336313	8.114877014
ENSCSAG00000006527	CALR	5397	3713	3859	3965	118.9818243	119.5905485	112.2795795	116.9506508
ENSCSAG00000000010	MT-ND2	1042	37907	34033	39870	6291.580948	5462.695742	5847.746271	5867.340987
ENSCSAG00000009548	ATP6V0E1	50483	673	714	812	2.305568348	2.365525063	2.458220736	2.376438049
ENSCSAG00000017601	MYL12A	4059	939	955	1017	40.0087178	39.35127584	38.29233993	39.21744452
ENSCSAG00000017268	EPHA7	182411	2861	2826	3402	2.712532348	2.591168352	2.850317827	2.718006175
ENSCSAG00000003909	SERPINH1	10833	1723	1820	1833	27.50708862	28.09940618	25.8597145	27.1554031
ENSCSAG00000009605	UQCR10	2862	211	216	218	12.75031512	12.62288481	11.64117634	12.33812542
ENSCSAG00000005465	NOLC1	9657	1192	1368	1351	21.34725886	23.69290774	21.38075916	22.14030859
ENSCSAG00000001140	CAP1	34963	1401	1514	1611	6.930068661	7.242553005	7.042013514	7.07154506
ENSCSAG00000015058	KAT6A	50960	943	959	1101	3.2002976	3.147485117	3.301930315	3.216571011
ENSCSAG00000006660	NCL	8871	6599	7056	7425	128.6511408	133.0333386	127.9186545	129.8677113
ENSCSAG00000017083	PRC1	27723	803	855	1005	5.009373485	5.158226248	5.540332644	5.235977459
ENSCSAG00000013536	PSMB7	64567	878	893	894	2.351754589	2.313211529	2.116103544	2.260356554
ENSCSAG00000005159	CERK	57049	1730	1828	1757	5.244524992	5.359233167	4.706886535	5.103548232
ENSCSAG00000010182	SND1	443827	1187	1285	1335	0.462535523	0.484243619	0.459703225	0.468827456
ENSCSAG00000002632	ARHGAP23	52921	1956	2151	2226	6.392178599	6.798089307	6.428462604	6.539576837
ENSCSAG00000002772	NR1D1	11597	216	207	205	3.221188844	2.985377021	2.701582335	2.969382733
ENSCSAG00000018102	ANP32E	17600	998	977	1194	9.806769458	9.284454521	10.36815934	9.81979444
ENSCSAG00000016266	YTHDF1	26667	826	916	936	5.356905421	5.745076421	5.364283126	5.48875499
ENSCSAG00000011760	PALM2AKAP2	233701	1383	1475	1600	1.023457238	1.055615958	1.046331779	1.041801658
ENSCSAG00000013072	FAM107B	14445	2569	2462	2797	30.75775622	28.5065723	29.59272267	29.61901706
ENSCSAG00000005103	PIM3	3236	543	555	599	29.0201337	28.68527168	28.28969814	28.66503451
ENSCSAG00000002059	TMED2	15204	1443	1510	1599	16.41408063	16.61091606	16.07313553	16.36604408
ENSCSAG00000005773	SEPTIN2	33922	3756	3923	4257	19.14927016	19.34244433	19.1792758	19.22366343
ENSCSAG00000007282	PDIA6	27368	4606	4704	4982	29.10643159	28.74741174	27.82086738	28.5582369
ENSCSAG00000005554	IGFBP6	4723	375	407	436	13.73160855	14.41288631	14.10842545	14.08430677
ENSCSAG00000015544	PTPN14	108806	1064	1217	1382	1.691207421	1.870734824	1.941177292	1.834373179
ENSCSAG00000004753	PRDX3	12524	926	996	1107	12.78721655	13.30119856	13.50873138	13.19904883
ENSCSAG00000006644	INTS5	5530	543	636	680	16.98176359	19.23563296	18.79289924	18.33676527
ENSCSAG00000006561	TNRC6A	99913	1014	992	1178	1.755189645	1.660596698	1.801910828	1.73923239
ENSCSAG00000006235	SH3BP4	19044	481	521	538	4.368124378	4.575663178	4.317517503	4.420435019
ENSCSAG00000010775	ZBTB7A	11839	599	723	715	8.750238575	10.21404517	9.229985636	9.398089793
ENSCSAG00000007255	THBS1	17233	302	289	318	3.030778148	2.804861699	2.820176153	2.885272
ENSCSAG00000017599	MYL12B	7837	1540	1742	1824	33.98434989	37.17686815	35.57009222	35.57710342
ENSCSAG00000002493	TAGLN2	7752	4434	4572	4489	98.92134601	98.64315517	88.50052465	95.35500861
ENSCSAG00000001658	CSDE1	40526	1781	1891	2124	7.600431894	7.804270001	8.009967911	7.804889935
ENSCSAG00000006911	BCAP31	23553	1367	1329	1478	10.03761132	9.437419196	9.590432785	9.688487768
ENSCSAG00000016696	RPS12	4486	8510	8975	9317	328.0789627	334.6182976	317.4145497	326.7039367
